RegionName,State,2015,2016,2017,2018,2019
Bladen County, NC,1121037,1108818,1164115,1156551,1188216
Blaine County, ID,2067645,2160511,2408026,2663351,2695701
Blaine County, MT,200325,193870,203086,209771,224214
Blaine County, NE,43387,36197,26705,27449,27956
Blaine County, OK,351784,329564,361953,384050,398436
Blair County, PA,5236887,5312333,5459082,5701223,5881562
Blanco County, TX,522163,537146,583309,619541,653991
Bland County, VA,217110,217098,228668,232936,239429
Bleckley County, GA,416802,412958,427610,440168,454053
Bledsoe County, TN,355581,353125,369021,384541,408427
Blount County, AL,1876963,1891651,1983097,2060734,2105550
Blount County, TN,4931738,5123495,5408602,5787694,6018481
Blue Earth County, MN,2785553,2794197,2873950,3049198,3165658
Boise County, ID,261256,297162,307258,320732,339240
Bolivar County, MS,1138639,1168982,1189833,1215374,1199960
Bollinger County, MO,364242,376310,383616,393326,408061
Bon Homme County, SD,227643,238163,247100,267819,280958
Bond County, IL,560111,576961,585283,613806,622062
Bonner County, ID,1526799,1623358,1729345,1857546,1933686
Bonneville County, ID,4656536,4965944,5335044,5704461,5966636
Boone County, MO,7648885,7868482,8152291,8336482,8756923
Boone County, IA,1196362,1194409,1207611,1261720,1306299
Boone County, KY,5511534,5716448,5985197,6307963,6649400
Boone County, IN,4137070,4448920,4630486,4980456,5172443
Boone County, WV,723093,691884,718984,765269,764201
Boone County, NE,302798,290842,263691,278251,301355
Boone County, IL,2253843,2340140,2414402,2513863,2553079
Boone County, AR,1229785,1242651,1278479,1331940,1363049
Borden County, TX,31785,27796,30937,43410,40082
Bosque County, TX,684419,697883,721483,768830,791602
Bossier Parish, LA,5190287,5224977,5297014,5582606,5730765
Botetourt County, VA,1559196,1582914,1614778,1679577,1729024
Bottineau County, ND,365833,341099,348053,398218,383647
Boulder County, CO,20444932,20997911,22560576,23866572,24962717
Boundary County, ID,380303,386361,414421,443152,467054
Bourbon County, KY,909505,918439,964359,987005,1019177
Bourbon County, KS,575598,578298,598244,655653,670726
Bowie County, TX,3479411,3537488,3662293,3751991,3839053
Bowman County, ND,195168,180120,182165,182580,201297
Box Butte County, NE,509870,483743,499926,524910,544733
Box Elder County, UT,1751368,1824833,1948667,2099459,2276646
Boyd County, KY,1758621,1739762,1786199,1868184,1889892
Boyd County, NE,100904,97605,96303,102491,111204
Boyle County, KY,1065272,1073677,1094226,1135502,1171085
Bracken County, KY,274644,284789,293853,306611,321260
Bradford County, PA,2329848,2285751,2405227,2492049,2605149
Bradford County, FL,835149,842765,895501,935989,963887
Bradley County, TN,3853282,3904391,4014584,4223394,4401338
Bradley County, AR,388456,394548,404535,421157,430310
Branch County, MI,1436121,1465597,1527412,1587405,1618925
Brantley County, GA,463206,485668,495150,521192,539782
Braxton County, WV,440531,426531,431045,448816,458011
Brazoria County, TX,15727848,16125777,16596053,17243137,18104830
