RegionName,State,2015,2016,2017,2018,2019
Grady County, OK,2042215,1982497,2079446,2193169,2276766
Grady County, GA,795431,778868,835848,864193,899781
Grafton County, NH,4918114,5101376,5212105,5543486,5691462
Graham County, KS,126825,113874,111633,122948,141324
Graham County, NC,255383,251388,269526,282198,295775
Graham County, AZ,1101268,1092457,1129769,1185241,1238695
Grainger County, TN,697134,711211,743459,783574,815809
Grand County, CO,649446,674218,724412,784074,816446
Grand County, UT,412200,449734,490784,545440,577398
Grand Forks County, ND,3359380,3389331,3492821,3640652,3715773
Grand Isle County, VT,367776,383913,397820,412360,433106
Grand Traverse County, MI,4095794,4215098,4413729,4625254,4805113
Granite County, MT,129259,132444,141320,146976,151098
Grant County, OR,282614,281638,285861,299724,308754
Grant County, NE,46687,39588,29315,29991,31824
Grant County, WV,395457,412248,423504,414149,426415
Grant County, WI,2068898,2069695,2154522,2241689,2334941
Grant County, WA,3592211,3606108,3721888,3840834,4020840
Grant County, MN,306404,278061,281080,286977,300786
Grant County, ND,96139,101296,107614,98781,103171
Grant County, KS,348592,373400,322447,356276,392475
Grant County, OK,213288,182878,178683,178608,202217
Grant County, IN,2504560,2507773,2543755,2672689,2728792
Grant County, AR,633925,650921,669095,687202,713927
Grant County, KY,803460,828147,866667,893535,929642
Grant Parish, LA,655640,675400,682103,695233,713978
Grant County, NM,1059643,1055920,1067313,1125321,1159814
Grant County, SD,481443,436414,396498,394563,404537
Granville County, NC,2001877,2103322,2195198,2290526,2394159
Gratiot County, MI,1408022,1422499,1460143,1494787,1558189
Graves County, KY,1322734,1314185,1369896,1407918,1434169
Gray County, KS,399641,437648,386040,407993,454857
Gray County, TX,996692,869262,920657,937110,965766
Grays Harbor County, WA,2550212,2655866,2811039,2993793,3147173
Grayson County, KY,820274,825717,851519,872590,910415
Grayson County, VA,465884,477539,488176,502006,516107
Grayson County, TX,4871518,5125785,5350091,5683293,5991490
Greeley County, KS,58635,77423,88604,93477,121865
Greeley County, NE,122595,107064,104014,107073,110682
Green County, KY,354728,357512,376999,376647,382902
Green County, WI,1727983,1756366,1809385,1888909,1987774
Green Lake County, WI,824477,811560,829487,850627,874919
Greenbrier County, WV,1278731,1247018,1285055,1318964,1346338
Greene County, IN,1153640,1176993,1224147,1264192,1332636
Greene County, IL,429416,447069,452852,475124,475343
Greene County, NC,627431,625554,660541,666388,693258
Greene County, TN,2430199,2356016,2432639,2508664,2575402
Greene County, NY,2070879,2094566,2187110,2226054,2316947
Greene County, GA,812261,863045,943975,1056956,1075758
Greene County, IA,410155,407322,413561,442099,471412
Greene County, AL,260851,264303,264173,260721,270791
Greene County, VA,770306,800349,835090,888811,922167
Greene County, MS,386248,376636,372310,384612,388790
Greene County, AR,1431999,1453828,1507207,1565316,1621297
Greene County, OH,7476076,7690675,8076182,8418647,8701780
Greene County, MO,11557566,11740976,12393779,12810425,13328377
Greene County, PA,1489424,1442012,1552396,1600233,1636304
Greenlee County, AZ,330375,329300,347933,381153,401731
Greenup County, KY,1353015,1329019,1374532,1463148,1492218
Greenville County, SC,21809432,22475390,23819726,25010948,26072914
Greenwood County, SC,2404126,2455698,2555963,2613799,2703532
Greenwood County, KS,239979,241346,242968,249134,267332
Greer County, OK,173886,166647,165544,166155,171676
Gregg County, TX,5530961,5344032,5362640,5650454,5838955
Gregory County, SD,169212,163374,178350,186436,188244
Grenada County, MS,700426,718752,727186,751178,769434
Griggs County, ND,118881,136892,125220,128653,127158
Grimes County, TX,943917,907817,959771,1004983,1065941
Grundy County, IA,601115,589806,615738,646227,672972
Grundy County, TN,391040,399780,413013,430352,451620
Grundy County, IL,2448679,2371676,2493205,2749854,2845815
Grundy County, MO,328439,340009,346471,345931,356037
Guadalupe County, NM,146140,151022,142140,148711,152717
Guadalupe County, TX,6271915,6510281,6924017,7243125,7641166
Guernsey County, OH,1441236,1427445,1508808,1576146,1617701
Guilford County, NC,22391842,22730099,23593612,24541484,25540291
Gulf County, FL,483885,518950,551342,607550,632109
Gunnison County, CO,683280,722190,766221,823372,853070
Guthrie County, IA,540999,531861,527958,570633,586218
Gwinnett County, GA,33984430,35034620,36637156,38560547,40166588
Haakon County, SD,94081,86407,91095,108252,98491
Habersham County, GA,1373354,1414546,1470251,1548216,1578820
Haines Borough, AK,147566,145768,158954,177731,181429
Hale County, TX,1067710,1044905,1088361,1128353,1190367
Hale County, AL,515093,520905,530495,539605,559776
Halifax County, NC,1736876,1756689,1801042,1835186,1893081
Halifax County, VA,1167769,1200534,1228247,1253002,1302645
Hall County, NE,2465683,2482575,2584934,2685653,2767731
Hall County, GA,7499427,7880145,8403625,8956711,9317545
Hall County, TX,97501,89575,100868,101780,98095
Hamblen County, TN,2219997,2257893,2300089,2410556,2487230
Hamilton County, TX,444892,443925,484667,491989,512599
Hamilton County, OH,43362437,44605053,46490037,48747129,50464493
Hamilton County, IN,20676898,21903608,23252722,24989148,26115614
Hamilton County, IA,794447,745580,752498,830738,862724
Hamilton County, NY,221239,223557,233649,238356,245432
Hamilton County, IL,312522,322568,336341,350168,353929
Hamilton County, TN,16755431,17191602,18073413,18887091,19626083
Hamilton County, NE,498851,478719,504751,505490,525616
Hamilton County, KS,146632,135392,130080,145708,176052
Hamilton County, FL,345793,347636,370217,387590,398827
Hamlin County, SD,244614,250527,252880,270939,272110
Hampden County, MA,22193728,22648521,23212582,24232557,24833290
Hampshire County, WV,738582,777696,791972,812910,836464
Hampshire County, MA,7776217,8000013,8225319,8525830,8824292
Hampton County, SC,574737,595572,610686,636293,659743
Hampton City, VA,5518956,5518220,5650767,5836417,6040694
Hancock County, ME,2543461,2596460,2656892,2772576,2875506
Hancock County, IN,3289975,3466729,3645492,3884640,4075205
Hancock County, GA,227434,234037,243391,254192,264682
Hancock County, IA,542891,511981,552020,587395,613371
Hancock County, WV,1144363,1152314,1183271,1235966,1262544
Hancock County, TN,168557,167308,170420,176671,185910
Hancock County, OH,4593164,4011574,3775489,3809758,3922712
Hancock County, MS,1534999,1565675,1603469,1683888,1740158
Hancock County, IL,742933,764248,756370,796679,797781
Hancock County, KY,311141,300595,308440,326386,337732
Hand County, SD,164869,155111,169472,187813,174163
Hanover County, VA,5698253,5954461,6197972,6433347,6663431
Hansford County, TX,456561,324759,348684,333781,352717
Hanson County, SD,189283,188124,195975,210468,224911
Haralson County, GA,951855,983014,1035499,1089029,1119642
Hardee County, FL,733190,713564,769022,761624,795856
Hardeman County, TX,150578,144990,151243,164591,165278
Hardeman County, TN,705288,709770,724470,740746,775986
Hardin County, TN,907359,923752,959905,1012231,1034561
Hardin County, IA,819839,785502,812034,855298,890216
Hardin County, KY,4249009,4382271,4540646,4702949,4909187
Hardin County, OH,944069,958705,990896,1037399,1059750
Hardin County, TX,2369567,2417964,2516296,2632628,2720004
Hardin County, IL,141996,144982,147621,143048,143052
Harding County, NM,31491,30778,24895,26830,28052
Harding County, SD,71244,62413,64183,57971,65121
Hardy County, WV,429904,436717,467456,468362,474130
Harford County, MD,13239258,13724807,14252463,14836852,15394347
Harlan County, KY,785679,768043,791327,812906,827738
Harlan County, NE,189590,168189,154021,169740,179851
Harmon County, OK,125297,104611,102748,103531,112171
Harnett County, NC,4115964,4211660,4415649,4626148,4825013
Harney County, OR,273333,279333,276180,294647,309164
Harper County, KS,253685,250092,242657,261705,298402
Harper County, OK,207033,172545,187462,197781,198407
Harris County, GA,1438612,1500920,1557176,1659409,1743164
Harris County, TX,245439122,234332856,253042833,272542077,282809166
Harrison County, IN,1520994,1571315,1613537,1686707,1759605
Harrison County, OH,534927,520770,569790,580993,589698
Harrison County, MS,7116176,7274245,7421495,7659190,7936210
Harrison County, IA,595892,599671,608943,642245,689601
Harrison County, KY,604484,616683,637533,656739,690185
Harrison County, WV,2994082,2920758,3077039,3300901,3348906
Harrison County, MO,278149,286198,297971,298420,318665
Harrison County, TX,2697235,2608147,2669258,2764260,2854497
Hart County, KY,562191,565124,585061,620322,640488
Hart County, GA,874456,873492,933110,993082,987958
Hartford County, CT,53320311,54048679,55109529,57230137,58603659
Hartley County, TX,557574,397137,437534,403873,452982
Harvey County, KS,1331114,1349097,1366896,1442018,1529186
Haskell County, TX,203544,187696,198917,213181,225748
Haskell County, KS,242967,277073,261439,256552,309324
Haskell County, OK,443620,405905,405051,407800,416340
Hawaii County, HI,7405863,7748127,8194397,8509388,8781599
Hawkins County, TN,1792191,1814470,1866553,1944763,1991856
Hayes County, NE,81009,70443,50480,60155,64547
Hays County, TX,7673345,8287644,8959455,9664246,10435043
Haywood County, TN,535344,553288,566335,583529,621568
Haywood County, NC,2178267,2282828,2376575,2487222,2604715
Heard County, GA,332589,343826,358016,374966,381124
Hemphill County, TX,314021,234782,221902,212886,217886
Hempstead County, AR,641790,641073,677000,695165,694148
Henderson County, TN,917599,921180,960453,998335,1039942
Henderson County, NC,4366122,4560841,4794508,5102136,5323876
Henderson County, IL,269198,278110,277039,286651,281882
Henderson County, TX,2906266,2946053,3094604,3180876,3320621
Henderson County, KY,1722397,1711825,1769565,1796537,1866239
Hendricks County, IN,7015216,7398279,7817672,8275896,8682214
Hendry County, FL,1193512,1196551,1255415,1336690,1395294
Hennepin County, MN,83034649,85319750,88773150,94487144,96903428
Henrico County, VA,19393001,20076617,21142161,21969225,22707121
Henry County, MO,851788,851025,894440,898550,932771
Henry County, IA,787459,800867,826802,874484,896577
Henry County, TN,1228848,1244317,1296241,1317429,1371646
Henry County, AL,648856,669234,700255,728803,748459
Henry County, IL,2129333,2136818,2170957,2238242,2284247
Henry County, IN,1664569,1713865,1780264,1849506,1912311
Henry County, GA,7700015,8130943,8501780,8943215,9425057
Henry County, OH,1123990,1145379,1182715,1213123,1242451
Henry County, KY,556883,569026,586422,606219,631736
Herkimer County, NY,2356719,2379823,2519860,2551992,2666107
Hernando County, FL,6026273,6398068,6701425,7050728,7412217
Hertford County, NC,724044,721101,750510,760796,787287
Hettinger County, ND,104940,98152,130719,119833,124387
Hickman County, TN,715080,734606,780152,816599,852034
Hickman County, KY,182996,166162,190594,191009,186740
Hickory County, MO,251820,248806,261622,270205,277095
Hidalgo County, TX,21002404,21470472,22015991,22949668,23815443
Hidalgo County, NM,175506,172011,170886,180619,187719
Highland County, OH,1390822,1433039,1508823,1558807,1610634
Highland County, VA,93649,92283,97164,97096,98092
Highlands County, FL,3186066,3273759,3428227,3520298,3662511
Hill County, MT,693248,681920,707160,755781,776105
Hill County, TX,1296029,1307669,1363160,1451257,1511408
Hillsborough County, FL,58750318,60545918,64141706,67966864,71319751
Hillsborough County, NH,22407570,23287695,24199521,25338570,26363623
Hillsdale County, MI,1486128,1509000,1559846,1609682,1643278
Hinds County, MS,9287394,9140853,9011292,9193766,9338184
Hinsdale County, CO,34887,36987,39369,40324,41241
Hitchcock County, NE,121084,108301,105145,104417,109623
Hocking County, OH,975365,999060,1049008,1074019,1101592
Hockley County, TX,911028,851846,931416,947017,970619
Hodgeman County, KS,106036,105989,96944,105186,117845
Hoke County, NC,1524499,1549411,1626327,1716082,1799206
Holmes County, MS,484003,499593,493728,498388,509884
Holmes County, OH,1732662,1726643,1891889,1998546,2060672
Holmes County, FL,548358,549028,581703,601252,624251
Holt County, NE,609862,552251,536662,523485,551633
Holt County, MO,183153,207069,209439,199326,237234
Honolulu County, HI,52729171,54567246,56569569,58129300,59617709
Hood County, TX,2546982,2638811,2874848,2997177,3167445
Hood River County, OR,1084587,1147832,1250796,1301551,1316983
Hooker County, NE,45065,39039,30395,34315,35361
Hoonah-Angoon CA, AK,120554,117450,128206,133993,139416
Hopkins County, KY,1735752,1717155,1763333,1747420,1801601
Hopkins County, TX,1339321,1323410,1388866,1474811,1541276
Horry County, SC,10636690,11327138,12050246,13008947,13819062
Hot Spring County, AR,952925,966603,1002926,1025910,1061865
Hot Springs County, WY,250005,239307,229733,248608,251985
Houghton County, MI,1238538,1268251,1288421,1348554,1396116
Houston County, GA,5947095,6070892,6310162,6633883,6955362
Houston County, TN,243574,238612,254030,263369,275841
Houston County, AL,4071631,4162847,4314958,4527737,4727293
Houston County, TX,802508,810417,845561,885447,909748
Houston County, MN,872764,897934,924668,959012,994092
Howard County, IN,3140701,3207938,3294072,3466287,3542015
Howard County, IA,443634,422010,423042,459983,487060
Howard County, TX,1294756,1261824,1346275,1544730,1589317
Howard County, AR,449308,444047,470926,483133,458930
Howard County, MD,22190678,23108247,24037219,24854527,25812013
Howard County, MO,361557,380292,389106,392776,415377
Howard County, NE,291113,286034,272869,282480,299508
Howell County, MO,1274067,1267722,1309387,1359512,1414562
Hubbard County, MN,804608,832690,880329,931099,972622
Hudson County, NJ,37597584,39136772,41952963,44821419,46668167
Hudspeth County, TX,129895,147093,154888,107770,115159
Huerfano County, CO,243345,256639,265217,280816,286647
Hughes County, OK,477110,454763,493985,534709,565702
Hughes County, SD,873626,891615,920138,923598,952567
Humboldt County, IA,461383,461615,453107,478139,504104
Humboldt County, NV,760492,738613,768225,781012,828562
Humboldt County, CA,5804485,6056894,6254062,6457937,6730966
Humphreys County, MS,246041,263686,270725,270426,281763
Humphreys County, TN,664635,669926,701808,705776,739271
Hunt County, TX,3120637,3278775,3440486,3642100,3834561
Hunterdon County, NJ,10164347,10448722,10604567,11053559,11478383
Huntingdon County, PA,1548388,1580857,1650832,1723279,1777352
Huntington County, IN,1385894,1396762,1450706,1519071,1563929
Huron County, MI,1356034,1365814,1383460,1420242,1484257
Huron County, OH,2170707,2189170,2284418,2375959,2435323
Hutchinson County, TX,876747,876096,851929,889973,920878
Hutchinson County, SD,307180,326472,340924,375011,414207
Hyde County, NC,188276,190656,192065,187192,197698
Hyde County, SD,69564,60830,71139,64453,63536
Iberia Parish, LA,2776846,2648524,2686457,2775791,2821327
Iberville Parish, LA,1211460,1232789,1294124,1338550,1379050
Ida County, IA,317464,331311,337761,360698,385040
Idaho County, ID,533383,521233,552967,578869,599117
Imperial County, CA,6706452,6575270,6731955,6822928,7329602
Independence County, AR,1208945,1238229,1290592,1324092,1379702
Indian River County, FL,10108919,10768763,11454945,12473322,12924659
Indiana County, PA,3087216,3089066,3199018,3377934,3489260
Ingham County, MI,10597089,10916372,11280800,11696408,12072282
Inyo County, CA,979750,1039364,1064189,1045520,1091592
Ionia County, MI,2008323,2036704,2119357,2233648,2297903
Iosco County, MI,855845,875663,903216,939568,1000848
Iowa County, WI,1041375,1043462,1083382,1134521,1191228
Iowa County, IA,809142,807953,840612,879651,912488
Iredell County, NC,7826416,8166960,8477248,9078424,9530801
Irion County, TX,106422,90357,102436,108145,110864
Iron County, MO,325953,321150,332992,343408,349861
Iron County, UT,1400899,1468201,1579607,1748659,1883899
Iron County, MI,456007,462593,474549,488226,503089
Iron County, WI,256503,265120,277326,280520,285767
Iroquois County, IL,1139441,1188607,1153682,1212152,1219970
Irwin County, GA,286160,283930,306593,318961,339312
Isabella County, MI,2282542,2331755,2376289,2447875,2540248
Isanti County, MN,1531126,1607282,1674503,1777640,1858507
Island County, WA,3983312,4136951,4367267,4596906,4851110
Isle of Wight County, VA,1835960,1877776,1946319,2053947,2139158
Issaquena County, MS,22900,31052,28635,31863,36400
Itasca County, MN,1814071,1814029,1868749,2002454,2076865
Itawamba County, MS,745532,760630,787842,823135,850806
Izard County, AR,382894,385187,399639,412558,421453
Jack County, TX,361234,320726,349756,384592,364786
Jackson County, MS,5018221,5067938,5183003,5340271,5496113
Jackson County, IA,820247,825423,840842,869902,914643
Jackson County, OH,1098743,1103846,1125224,1145660,1188653
Jackson County, NC,1247733,1317148,1389715,1452966,1531661
Jackson County, WI,857291,855077,902913,942567,955696
Jackson County, AR,604641,608834,630953,636556,680519
Jackson County, TN,318780,328638,342363,361866,373336
Jackson County, OK,948532,940312,979577,1004272,1062664
Jackson County, MN,502788,479917,511050,527293,570404
Jackson County, GA,2318159,2562749,2763876,3007205,3175048
Jackson County, MI,5682199,5873902,5997070,6211490,6401733
Jackson County, KS,502084,507685,530887,553735,572239
Jackson County, IL,2039291,2028065,2068225,2112197,2154636
Jackson County, KY,365462,367258,375185,386249,397848
Jackson Parish, LA,520927,502296,522353,538956,548563
Jackson County, TX,603042,574187,600958,629991,687760
Jackson County, OR,8783198,9264181,9743846,10237971,10669698
Jackson County, AL,1792986,1810844,1864073,1918362,1978062
Jackson County, SD,84393,78464,86767,91877,91216
Jackson County, MO,29522533,30266599,31350427,32550739,33617556
Jackson County, WV,1004384,999269,1027153,1105294,1121721
Jackson County, IN,1747322,1739021,1780227,1891984,1954655
Jackson County, FL,1435517,1459515,1528063,1607006,1671573
Jackson County, CO,64818,61754,66285,76526,77555
Jasper County, MS,591194,569276,624153,649240,650385
Jasper County, IN,1374008,1386641,1405752,1469759,1536380
Jasper County, IL,372726,383636,401179,409883,401805
Jasper County, IA,1435538,1479280,1518225,1577963,1635639
Jasper County, SC,730113,768536,796295,874912,946925
Jasper County, GA,458478,484385,538791,527092,548392
Jasper County, MO,4365269,4515185,4655551,4959311,5137999
Jasper County, TX,1315016,1335933,1391417,1421883,1450787
Jay County, IN,831246,754727,791272,821119,803481
Jeff Davis County, TX,86628,89341,90918,93904,97963
Jeff Davis County, GA,437331,425725,431034,455811,484720
Jefferson County, NY,5052093,4957788,5161221,5235284,5421948
Jefferson County, TN,1723272,1766331,1865671,1970163,2043234
Jefferson Parish, LA,20816491,20743729,21255547,22082605,22608304
Jefferson County, MO,8572397,8792624,9081260,9395366,9736784
Jefferson County, WA,1404646,1463117,1563422,1702561,1786558
Jefferson County, FL,521864,534703,554104,578482,598175
Jefferson County, NE,334973,325220,330528,342189,352860
Jefferson County, IL,1393910,1403555,1453653,1488365,1526823
Jefferson County, WI,3540356,3582965,3729714,3894090,3997033
Jefferson County, CO,32175423,33096932,34677634,36686693,38480032
Jefferson County, OR,715683,746539,775392,830889,866858
Jefferson County, KS,748664,775486,808436,842305,880439
Jefferson County, MT,515486,532389,564105,580462,608367
Jefferson County, ID,851774,907169,957840,1030960,1105968
Jefferson County, OK,219945,200463,187611,198788,204774
Jefferson County, TX,10628848,10510633,10843127,11019529,11223148
Jefferson County, AR,2333794,2348972,2367922,2384681,2444791
Jefferson County, KY,36010656,36875677,38280713,40252530,41523531
Jefferson County, PA,1757439,1759404,1818120,1933606,1991259
Jefferson County, MS,230269,228285,231519,242437,243669
Jefferson County, WV,2523491,2636819,2706385,2840184,2944582
Jefferson County, GA,484019,502600,523213,519605,553542
Jefferson County, OH,2390177,2369540,2488167,2580035,2668130
Jefferson County, IN,1251249,1261733,1293334,1364891,1424853
Jefferson County, IA,677174,693044,703648,740251,767223
Jefferson County, AL,32467641,32979113,34907850,36644708,37755657
Jefferson Davis Parish, LA,1169658,1185924,1250268,1311640,1333749
Jefferson Davis County, MS,320919,316839,336043,336653,338616
Jenkins County, GA,252308,257966,256277,258920,274461
Jennings County, IN,977923,1000735,1041170,1092516,1141812
Jerauld County, SD,83804,80225,80292,82691,79712
Jerome County, ID,843965,853283,844874,890650,981126
Jersey County, IL,820309,843843,870626,916862,932677
Jessamine County, KY,2118625,2306818,2325512,2410537,2502816
Jewell County, KS,137694,134362,126701,143944,166090
Jim Hogg County, TX,164896,158311,159035,167063,174729
Jim Wells County, TX,1634432,1544010,1608354,1652846,1707270
Jo Daviess County, IL,964922,975494,990548,1017525,1035064
Johnson County, AR,720318,725746,747257,766069,768625
Johnson County, MO,1811370,1838478,1908760,1955987,2033563
Johnson County, KS,38602342,40298721,41956376,44540502,45906867
Johnson County, TN,526846,532195,552799,567890,588040
Johnson County, IL,416507,421661,433811,445789,455914
Johnson County, WY,427716,398437,410520,454722,460048
Johnson County, IN,6569415,6849328,7170645,7580966,7911167
Johnson County, NE,174086,163164,169045,175045,183885
Johnson County, GA,226936,233188,239511,249018,254004
Johnson County, IA,6923171,7238132,7571031,8144951,8300194
Johnson County, KY,729912,714751,720758,738157,762287
Johnson County, TX,6050004,6297973,6738586,7248194,7693658
Johnston County, NC,6744235,7171038,7572083,8133785,8651362
Johnston County, OK,357388,359782,381529,400318,387214
Jones County, NC,365938,364273,384526,370868,395822
Jones County, TX,572981,564998,576565,616046,655494
Jones County, SD,52978,43620,48435,49868,53093
Jones County, IA,842265,855286,880767,910968,949807
Jones County, GA,984840,997947,1030094,1064314,1107050
Jones County, MS,2524443,2445525,2524507,2576839,2638149
Josephine County, OR,3101754,3234439,3425747,3652347,3810451
Juab County, UT,346848,364715,383946,443622,469900
Judith Basin County, MT,95800,89569,83189,92540,102350
Juneau Cty&Bor, AK,2084852,2100408,2155516,2278715,2344824
Juneau County, WI,933727,932752,973049,1015492,1046609
Juniata County, PA,952925,975416,1073231,1108142,1145486
Kalamazoo County, MI,11467476,11792105,12195991,12778555,13118941
Kalkaska County, MI,562103,564894,584618,614306,638315
Kanabec County, MN,613593,638639,658562,679062,709285
Kanawha County, WV,8340110,8224038,8381154,8724062,8826515
Kandiyohi County, MN,2128528,2124298,2261072,2288741,2337551
Kane County, IL,24434852,25086846,26101694,26924793,27771665
Kane County, UT,264414,276961,296515,312244,327282
Kankakee County, IL,4199468,4252965,4385392,4550632,4689720
Karnes County, TX,635507,640084,723110,838410,880663
Kauai County, HI,3073497,3216155,3402626,3585277,3726328
Kaufman County, TX,4424031,4719423,5093730,5489981,5987018
Kay County, OK,1754624,1714699,1748879,1759409,1805476
Kearney County, NE,640222,410882,345991,349045,365211
Kearny County, KS,185064,193417,192835,201920,227159
Keith County, NE,367996,359987,353661,376473,389917
Kemper County, MS,268480,277909,276598,281545,292466
Kenai Peninsula Borough, AK,2980087,2907542,2936666,3079281,3221300
Kendall County, IL,5496699,5699456,5914073,6178196,6440662
Kendall County, TX,3131763,3416525,3633005,3681945,3883727
Kenedy County, TX,20999,15440,17609,17075,17074
Kennebec County, ME,4963718,5084326,5240414,5468024,5743002
Kenosha County, WI,7091710,7258348,7546629,7959993,8240050
Kent County, TX,34183,36165,38867,41160,41628
Kent County, MI,31641369,32438087,32917038,34179003,35255155
Kent County, RI,8859011,8941213,9353815,9619384,10001175
Kent County, DE,6575805,6833378,7175296,7434085,7791288
Kent County, MD,1070755,1098033,1145231,1189400,1226328
Kenton County, KY,8367648,8920227,9113274,9394036,9744124
Keokuk County, IA,438660,431559,438202,466362,492666
Kern County, CA,33334249,33286588,34063749,35566558,37666752
Kerr County, TX,2326561,2350290,2529226,2632945,2723001
Kershaw County, SC,2414007,2481887,2607885,2731367,2856955
Ketchikan Gateway Borough, AK,893785,886983,915117,955248,986762
Kewaunee County, WI,905567,890698,922643,955263,1012280
Keweenaw County, MI,88763,91843,94229,98223,101490
Keya Paha County, NE,59616,45942,39516,40785,42651
Kidder County, ND,112861,108009,118494,123156,131136
Kimball County, NE,163636,155582,161530,161486,161565
Kimble County, TX,201721,192002,185709,186712,192438
King County, TX,23940,22571,21015,23989,21447
King County, WA,162285799,173036160,186440160,203139369,213956690
King George County, VA,1332600,1292556,1341131,1384706,1443152
King William County, VA,667486,720541,758780,782151,819712
King and Queen County, VA,271000,280427,292384,303101,314706
Kingfisher County, OK,704111,698179,749059,821475,856699
Kingman County, KS,319940,314327,299525,314899,346960
Kings County, NY,115668665,120697575,130430320,137529502,143558277
Kings County, CA,5137539,5262778,5461861,5595305,6030809
Kingsbury County, SD,258269,255495,245508,274937,283969
Kinney County, TX,109903,106197,110808,116518,118147
Kiowa County, CO,61336,57821,60125,66079,76999
Kiowa County, KS,93669,98094,101729,106712,118122
Kiowa County, OK,332953,312473,309092,304230,328823
Kit Carson County, CO,290846,295956,283627,277058,324036
Kitsap County, WA,12669582,13288233,14065097,15159557,15982626
Kittitas County, WA,1658271,1779330,1886019,1994556,2088125
Kittson County, MN,212007,200246,214484,219505,217600
Klamath County, OR,2391965,2500879,2615422,2760780,2839572
Kleberg County, TX,1168983,1137536,1176460,1235344,1274025
Klickitat County, WA,896007,935784,1017519,1082084,1109090
Knott County, KY,453163,440636,443769,458359,472740
Knox County, OH,2389035,2404778,2502158,2670048,2743352
Knox County, NE,385826,368924,383890,388104,395089
Knox County, ME,1807708,1874325,1972993,1999357,2066523
Knox County, TX,139789,130553,138260,146323,145046
Knox County, KY,898086,890864,901010,913801,937615
Knox County, IN,1520786,1554846,1590292,1636882,1678996
Knox County, TN,20563862,21151516,22202016,23560635,24342690
Knox County, IL,1917722,1924370,1919763,1986520,2006004
Knox County, MO,120774,127877,131115,131440,146848
Kodiak Island Borough, AK,840639,794531,826222,831689,862827
Koochiching County, MN,478918,479977,489931,523258,550969
Kootenai County, ID,6044776,6332789,6812591,7320336,7728980
Kosciusko County, IN,3638707,3428784,3598736,3775536,3847620
Kossuth County, IA,762036,729238,751760,798160,842885
Kusilvak CA, AK,232566,246534,246006,255181,265586
La Crosse County, WI,5337183,5441059,5650488,5932407,6114730
La Paz County, AZ,611925,644213,646651,678882,717797
La Plata County, CO,3003269,2910956,2966713,3209863,3272944
La Salle County, TX,303073,258207,259489,290488,300145
La Salle Parish, LA,450567,435138,443220,475307,506202
LaGrange County, IN,1399942,1452290,1608929,1690021,1714307
LaMoure County, ND,192425,188714,202409,215244,233984
LaPorte County, IN,4203739,4315852,4473977,4659156,4825145
LaSalle County, IL,4516658,4579950,4715466,4883633,5000166
Labette County, KS,800069,804447,814705,844523,878100
Lac qui Parle County, MN,341872,319232,337126,343125,374381
Lackawanna County, PA,9105749,9357388,9576407,9990936,10267137
Laclede County, MO,1148099,1165261,1245806,1289813,1329896
Lafayette County, WI,681293,667065,686618,714757,755582
Lafayette Parish, LA,11787224,10935437,11508197,11841357,12128730
Lafayette County, AR,234780,234715,236450,238248,241933
Lafayette County, MS,1968667,2101455,2195205,2297231,2367088
Lafayette County, MO,1218897,1284496,1328399,1351764,1400521
Lafayette County, FL,226370,201413,211983,217566,232825
Lafourche Parish, LA,4460127,4204578,4320746,4342097,4471308
Lake County, IN,19680550,20182669,20883506,21911052,22689989
Lake County, OH,10571056,10769944,11212255,11702578,12077050
Lake County, IL,50958686,51335409,52372954,55005733,56400791
Lake County, MN,473442,461032,484671,512489,529315
Lake County, CA,2456491,2533898,2622835,2741990,2849642
Lake County, FL,12279007,13248595,14137883,15066611,15941942
Lake County, CO,245032,250848,267820,289261,303873
Lake County, MI,331193,347747,359540,379142,395507
Lake County, MT,1006021,1056080,1156497,1195016,1241299
Lake County, OR,301814,315039,305207,327238,340162
Lake County, TN,171912,162526,165120,162932,180813
Lake County, SD,669858,671039,651157,639024,654173
Lake and Peninsula Borough, AK,88856,87361,98887,106918,104910
Lake of the Woods County, MN,205283,193052,207632,211422,213633
Lamar County, TX,1865200,1929566,2012116,2045336,2147064
Lamar County, AL,439492,446852,453451,469268,485217
Lamar County, MS,2299157,2332331,2391789,2474496,2546822
Lamar County, GA,556472,570678,600078,631842,655768
Lamb County, TX,527404,483240,537431,552329,588630
Lamoille County, VT,1237127,1274336,1293190,1353309,1388857
Lampasas County, TX,958999,971117,1007587,1052966,1085460
Lancaster County, NE,13821237,14159596,14872899,15660191,16191587
Lancaster County, VA,568789,589238,625204,634875,651527
Lancaster County, SC,3552833,3935232,4414615,4856460,5135446
Lancaster County, PA,25000790,25767174,27129059,28608117,29640682
Lander County, NV,332768,324913,346204,364757,383329
Lane County, KS,110721,119496,102624,111515,130485
Lane County, OR,14908517,15638663,16667640,17460343,18087217
Langlade County, WI,787957,779224,807335,831068,862030
Lanier County, GA,255660,260700,274296,287726,302172
Lapeer County, MI,3418279,3487494,3667606,3806317,3916519
Laramie County, WY,4810053,4715999,4888842,5205696,5384262
Larimer County, CO,15667640,16414294,17805751,19008370,19944871
Larue County, KY,475671,484319,502484,522466,551671
Las Animas County, CO,510474,518415,534112,579812,576789
Lassen County, CA,1065232,1097050,1111837,1133173,1165736
Latah County, ID,1464425,1510307,1578982,1622413,1677858
Latimer County, OK,355068,351746,349092,345813,354234
